id,age,gender,sampling_frame,sample_size,test_item,response,exp_num
1,19,female,category,2,1,7.5,1
1,19,female,category,2,2,7.5,1
1,19,female,category,2,3,3,1
1,19,female,category,2,4,2.5,1
1,19,female,category,2,5,2.5,1
1,19,female,category,2,6,0.5,1
1,19,female,category,8,1,8,1
1,19,female,category,8,2,9,1
1,19,female,category,8,3,2.5,1
1,19,female,category,8,4,1,1
1,19,female,category,8,5,1,1
1,19,female,category,8,6,0.5,1
1,19,female,category,20,1,8,1
1,19,female,category,20,2,10,1
1,19,female,category,20,3,1,1
1,19,female,category,20,4,1,1
1,19,female,category,20,5,1,1
1,19,female,category,20,6,0.5,1
1,19,female,property,2,1,7.5,1
1,19,female,property,2,2,5,1
1,19,female,property,2,3,3,1
1,19,female,property,2,4,1.5,1
1,19,female,property,2,5,0.5,1
1,19,female,property,2,6,1,1
1,19,female,property,8,1,9,1
1,19,female,property,8,2,5,1
1,19,female,property,8,3,2,1
1,19,female,property,8,4,1,1
1,19,female,property,8,5,1,1
1,19,female,property,8,6,0.5,1
1,19,female,property,20,1,9.5,1
1,19,female,property,20,2,5,1
1,19,female,property,20,3,1.5,1
1,19,female,property,20,4,0.5,1
1,19,female,property,20,5,0.5,1
1,19,female,property,20,6,0.5,1
2,18,female,category,2,1,2.5,1
2,18,female,category,2,2,1.5,1
2,18,female,category,2,3,1,1
2,18,female,category,2,4,0,1
2,18,female,category,2,5,0,1
2,18,female,category,2,6,1,1
2,18,female,category,8,1,4,1
2,18,female,category,8,2,2,1
2,18,female,category,8,3,1,1
2,18,female,category,8,4,1.5,1
2,18,female,category,8,5,1.5,1
2,18,female,category,8,6,0,1
2,18,female,category,20,1,1.5,1
2,18,female,category,20,2,1.5,1
2,18,female,category,20,3,0,1
2,18,female,category,20,4,0,1
2,18,female,category,20,5,0,1
2,18,female,category,20,6,0,1
2,18,female,property,2,1,3,1
2,18,female,property,2,2,2.5,1
2,18,female,property,2,3,2,1
2,18,female,property,2,4,2,1
2,18,female,property,2,5,2,1
2,18,female,property,2,6,2,1
2,18,female,property,8,1,5,1
2,18,female,property,8,2,5,1
2,18,female,property,8,3,2,1
2,18,female,property,8,4,2,1
2,18,female,property,8,5,2,1
2,18,female,property,8,6,2.5,1
2,18,female,property,20,1,6,1
2,18,female,property,20,2,5.5,1
2,18,female,property,20,3,3,1
2,18,female,property,20,4,2,1
2,18,female,property,20,5,2.5,1
2,18,female,property,20,6,2.5,1
3,20,female,category,2,1,4,1
3,20,female,category,2,2,3.5,1
3,20,female,category,2,3,2.5,1
3,20,female,category,2,4,3,1
3,20,female,category,2,5,3.5,1
3,20,female,category,2,6,3,1
3,20,female,category,8,1,7.5,1
3,20,female,category,8,2,7,1
3,20,female,category,8,3,2,1
3,20,female,category,8,4,6.5,1
3,20,female,category,8,5,1.5,1
3,20,female,category,8,6,6,1
3,20,female,category,20,1,8,1
3,20,female,category,20,2,7.5,1
3,20,female,category,20,3,2.5,1
3,20,female,category,20,4,2,1
3,20,female,category,20,5,2.5,1
3,20,female,category,20,6,1.5,1
3,20,female,property,2,1,9,1
3,20,female,property,2,2,1,1
3,20,female,property,2,3,1.5,1
3,20,female,property,2,4,1.5,1
3,20,female,property,2,5,0,1
3,20,female,property,2,6,0,1
3,20,female,property,8,1,9.5,1
3,20,female,property,8,2,9.5,1
3,20,female,property,8,3,1,1
3,20,female,property,8,4,4,1
3,20,female,property,8,5,0,1
3,20,female,property,8,6,0,1
3,20,female,property,20,1,10,1
3,20,female,property,20,2,9.5,1
3,20,female,property,20,3,2.5,1
3,20,female,property,20,4,4.5,1
3,20,female,property,20,5,0,1
3,20,female,property,20,6,0,1
4,18,male,category,2,1,5,1
4,18,male,category,2,2,6,1
4,18,male,category,2,3,1.5,1
4,18,male,category,2,4,1,1
4,18,male,category,2,5,1,1
4,18,male,category,2,6,1,1
4,18,male,category,8,1,7,1
4,18,male,category,8,2,7.5,1
4,18,male,category,8,3,1.5,1
4,18,male,category,8,4,1,1
4,18,male,category,8,5,1.5,1
4,18,male,category,8,6,2.5,1
4,18,male,category,20,1,8,1
4,18,male,category,20,2,8,1
4,18,male,category,20,3,3,1
