ID,C_SS2_1,C_SS2_2,C_SS2_3,C_SS2_4,C_SS2_5,C_SS2_6,C_SS8_1,C_SS8_2,C_SS8_3,C_SS8_4,C_SS8_5,C_SS8_6,C_SS20_1,C_SS20_2,C_SS20_3,C_SS20_4,C_SS20_5,C_SS20_6,P_SS2_1,P_SS2_2,P_SS2_3,P_SS2_4,P_SS2_5,P_SS2_6,P_SS8_1,P_SS8_2,P_SS8_3,P_SS8_4,P_SS8_5,P_SS8_6,P_SS20_1,P_SS20_2,P_SS20_3,P_SS20_4,P_SS20_5,P_SS20_6
1,7.5,7.5,3,2.5,2.5,0.5,8,9,2.5,1,1,0.5,8,10,1,1,1,0.5,7.5,5,3,1.5,0.5,1,9,5,2,1,1,0.5,9.5,5,1.5,0.5,0.5,0.5
2,2.5,1.5,1,0,0,1,4,2,1,1.5,1.5,0,1.5,1.5,0,0,0,0,3,2.5,2,2,2,2,5,5,2,2,2,2.5,6,5.5,3,2,2.5,2.5
3,4,3.5,2.5,3,3.5,3,7.5,7,2,6.5,1.5,6,8,7.5,2.5,2,2.5,1.5,9,1,1.5,1.5,0,0,9.5,9.5,1,4,0,0,10,9.5,2.5,4.5,0,0
4,5,6,1.5,1,1,1,7,7.5,1.5,1,1.5,2.5,8,8,3,3,2.5,2.5,3,0.5,0.5,0,0,0,5.5,3,0.5,0,0,0,7.5,4.5,1.5,0,0,0
6,3,1.5,2,1.5,1.5,0,4.5,2.5,2.5,2,0.5,1,7.5,4,4,4,1,1,2,0,0,0,0.5,0,4,3,0,0,0,0,6.5,5.5,0,0,0,0
7,5.5,3,3,3.5,3,3,9.5,7,6,5.5,5.5,5,10,10,6.5,10,6.5,5,9.5,6.5,3,3,3,3,10,5.5,1,1,0.5,0.5,5,5,0,0,0,0
8,6.5,5,3.5,2,1,0.5,8.5,6,2,0.5,0,0,7,5,0,0,0,0,6,5,1.5,1,0.5,0.5,6.5,4.5,1.5,0.5,0,0,5.5,4,0,0,0,0
9,4,1,0.5,0,0,0,5.5,10,0,0,0,0,5,10,0,0,0,0,7,3,0.5,0,0,0,7.5,3.5,0.5,0,0,0,9,3.5,0,0,0,0
10,3,3,3,3,2,2.5,7,7,4.5,4,3.5,3.5,9.5,8.5,6,6,6.5,4.5,6,8,4.5,3,3,2.5,6,9,4,2,2,2,8,8,3.5,2.5,1.5,2
11,5,5,5,5,2.5,2.5,5,5,5,5,2.5,2.5,5,5,5,5,2.5,2.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1.5,2.5,1.5,1,1,1.5,5,10,5,5,5,5,5,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0
14,6.5,4.5,5,5,5,5,8,8,7,6,5.5,4.5,9,8.5,7.5,7,6.5,6,5,5,5,5,5,5,7.5,2.5,4.5,3.5,1.5,3,9,3.5,4,3,1.5,1.5
15,6.5,7.5,1,0,0,0,8,9,3.5,3.5,3.5,3.5,8.5,10,6.5,3.5,3.5,3.5,9,4,4.5,3.5,0,0,8.5,6.5,4,3.5,0,0,9.5,6.5,3.5,3.5,0,0
16,5,7,3.5,3,1.5,1,9.5,8,4.5,3.5,2,2,10,8.5,6.5,5.5,3,3,8,8.5,5.5,3.5,5.5,5.5,9.5,9,5.5,5.5,5.5,5.5,10,10,5,5,5,5
17,6.5,4.5,2.5,1,3,0,10,7.5,2.5,0,0,0,10,9,4.5,0,0.5,0,9,5,3,2.5,0,0,9,2.5,1,1,0,0,9.5,4.5,0.5,0,0,0
18,8,6.5,5,7,7,7.5,8,8,7.5,7,8,7.5,10,9,7,8.5,8.5,6.5,7.5,5.5,3.5,3,3,2.5,6,7.5,5,3.5,2,3,5,5,2.5,0,0,0
19,6.5,7.5,5,4.5,4,6,7,8.5,4,4.5,4.5,4,8,8.5,5,3,3,2.5,7,5.5,4,5,3.5,5,8.5,6.5,5,4,4.5,3.5,8.5,5.5,4,3.5,3,3.5
20,6.5,7.5,0,0,0,0,10,10,2,0,0,1,10,10,0,0,0,0,8,3.5,3,3.5,2,2.5,7.5,2.5,2,1.5,1.5,0.5,8,2.5,0,0,0,0
21,7,7,4.5,1.5,4.5,1,8,8,5,1.5,4.5,0.5,9,9,5,2.5,5,0.5,7,7,5,4.5,2.5,2.5,8,7.5,5,5,1.5,2,9,9,4.5,4.5,1,1
22,4.5,4.5,5,5.5,4.5,3,10,9,8.5,9,8.5,9,10,10,10,10,9.5,10,8,6.5,6.5,2.5,0,1,9,5.5,3.5,1,0,0,10,6,7.5,1,0,0
23,5.5,1,1.5,0,1.5,1,6.5,3,1,0.5,1.5,1,10,6.5,0.5,0,0,0,1.5,7.5,2.5,0,0,0,5,10,3,0,0,0,9.5,9.5,0,0,0,0
24,9.5,9,2.5,1,0.5,0.5,10,10,2,0.5,1,0.5,10,10,4,1,1,0.5,9,7.5,2.5,2.5,2.5,2.5,7.5,5,0,0,0,0,5,5,0,0,0,0
25,6,6,4.5,4,3.5,4.5,8.5,9,3.5,2.5,2.5,2,9,9,3.5,1,1.5,1,5.5,5,5,5,5,5,8,5.5,2.5,2,2,3,9,6.5,1.5,2,1,1
26,7,7,1.5,2,1.5,2,8,8.5,2.5,3.5,3,3,9.5,7,5,4.5,5,5,2.5,2.5,4,3.5,2,3.5,5.5,7,7,7.5,3.5,3.5,9,8.5,8,9,4.5,4.5
27,2,1,0,0,0,0,6.5,4,0,0,0,0,10,5,0,0,0,0,2,2,3.5,3.5,1.5,2,2.5,2,3,1,2,1.5,4,5,0,0,0,0
28,1,2,1.5,1.5,1.5,1.5,2.5,4,1.5,1.5,1.5,1.5,2.5,4,1.5,1.5,1.5,1.5,2,2.5,2,2,1,2.5,5.5,4.5,4.5,5,4.5,4.5,8.5,7.5,7.5,8.5,8,8.5
