ID,C_SS20_AVG,P_SS20_AVG,SCORE
1,0.875,0.75,0.125
2,0,2.5,-2.5
3,2.125,1.75,0.375
4,2.75,0.375,2.375
6,2.5,0,2.5
7,7,0,7
8,0,0,0
9,0,0,0
10,5.75,2.375,3.375
11,3.75,5,-1.25
12,0,0,0
13,0,0,0
14,6.75,2.5,4.25
15,4.25,1.75,2.5
16,4.5,5,-0.5
17,1.25,0.125,1.125
18,7.625,0.625,7
19,3.375,3.5,-0.125
20,0,0,0
21,3.25,2.75,0.5
22,9.875,2.125,7.75
23,0.125,0,0.125
24,1.625,0,1.625
25,1.75,1.375,0.375
26,4.875,6.5,-1.625
27,0,0,0
28,1.5,8.125,-6.625
29,6.25,3.75,2.5
30,2,0.875,1.125
31,0.75,0.5,0.25
32,10,0,10
33,7.75,8.75,-1
34,2.5,0.875,1.625
35,6,0,6
36,6.375,0,6.375
37,2.125,2,0.125
38,0,0,0
39,0.25,1.125,-0.875
40,3.625,0,3.625
41,2.5,0,2.5
42,5,0,5
43,0.625,0,0.625
44,10,0.25,9.75
45,7.375,0.625,6.75
46,0,0,0
47,2.625,2.5,0.125
48,5,5.75,-0.75
49,5,0,5
50,2.375,0.5,1.875
85,0.75,5.25,-4.5
86,2.625,0.375,2.25
87,10,0,10
88,0,0,0
89,0,0,0
90,2.75,0,2.75
91,4.875,0,4.875
92,3.75,0,3.75
93,0.25,0,0.25
94,5.25,3.875,1.375
95,7.5,5.75,1.75
96,2,0,2
