ID,C_SS8_1,C_SS8_2,C_SS8_3,C_SS8_4,C_SS8_5,C_SS8_6,C_SS20_1,C_SS20_2,C_SS20_3,C_SS20_4,C_SS20_5,C_SS20_6,P_SS8_1,P_SS8_2,P_SS8_3,P_SS8_4,P_SS8_5,P_SS8_6,P_SS20_1,P_SS20_2,P_SS20_3,P_SS20_4,P_SS20_5,P_SS20_6
1,0,0,2,2,4,6,7,8,8,10,9,10,4,6,10,9,10,10,9,10,6,8,8,6
2,6,5,7,8,6,5,9,10,9,10,9,9,7,7,6,7,3,8,7,8,9,7,8,8
3,6,8,3,3,5,5,9,9,2,2,2,2,9,9,0,0,0,0,9,9,1,1,1,1
4,4,1,2,2,0,2,10,10,10,10,10,10,9,1,0,0,0,0,9,2,0,0,0,0
5,4,8,9,9,9,9,8,8,9,9,9,9,5,6,8,9,8,9,8,7,5,4,5,4
6,10,9,9,7,7,9,10,10,10,9,8,8,9,10,6,6,7,5,10,10,7,5,6,3
7,4,4,4,5,4,4,4,4,4,4,4,4,3,2,2,3,2,1,4,2,3,5,2,1
8,10,10,4,0,2,0,10,10,2,2,1,1,10,3,0,0,0,0,2,3,0,0,0,0
9,5,9,0,3,0,0,10,10,7,5,3,3,10,6,0,0,0,0,10,10,0,0,0,0
10,8,6,6,8,8,10,10,10,8,8,8,8,10,10,6,5,5,5,10,10,5,5,5,5
11,8,7,6,6,6,6,9,9,8,9,8,7,5,8,3,3,3,2,9,8,1,1,1,0
12,3,3,1,1,3,2,6,4,5,5,4,4,6,7,7,7,7,6,7,10,7,6,4,5
13,10,10,10,10,10,5,10,10,10,10,10,10,5,10,0,0,0,0,2,5,0,0,0,0
14,2,10,5,6,6,2,10,10,10,10,6,5,6,10,7,4,4,1,10,10,8,0,8,4
15,3,2,0,0,0,0,3,4,0,1,0,0,4,3,6,0,0,7,4,8,0,0,0,0
16,9,9,9,9,9,9,10,10,9,9,9,9,6,6,3,2,2,2,6,6,2,1,1,1
17,7,7,7,7,7,7,10,10,10,10,10,10,6,6,6,7,6,6,6,6,6,6,6,5
18,10,10,1,0,0,0,10,10,1,0,0,0,1,2,0,0,0,0,5,5,0,0,0,0
19,3,5,1,3,2,1,3,3,0,1,0,0,4,6,2,4,3,1,5,3,3,6,7,1
20,8,9,8,7,7,6,9,9,8,8,8,8,8,8,3,3,2,2,9,9,3,3,3,2
21,10,10,0,0,0,0,10,5,0,0,0,0,3,3,10,10,0,10,2,4,0,0,0,0
22,10,10,10,5,4,3,10,10,9,9,8,7,10,9,5,3,2,3,10,10,5,3,3,3
23,7,5,1,0,0,1,7,7,0,0,0,0,8,8,8,1,1,1,3,9,1,1,1,1
24,10,10,10,10,10,10,10,10,5,5,5,5,10,10,5,5,5,5,10,10,5,5,5,5
25,4,5,5,4,4,4,10,10,10,10,10,9,6,6,6,4,5,5,6,6,6,4,5,4
26,4,4,0,0,0,0,6,7,0,0,0,0,3,3,1,0,0,0,1,4,0,0,0,0
27,1,1,0,0,0,0,3,2,0,0,0,0,1,2,0,0,0,0,2,3,0,0,0,0
28,7,6,5,6,10,10,9,9,10,9,10,9,1,0,3,3,2,1,4,3,2,3,2,2
29,10,8,5,5,5,0,10,7,0,1,5,0,1,1,2,0,1,1,3,1,1,0,0,0
30,4,7,1,0,0,0,8,9,0,0,0,0,4,1,0,0,0,3,4,4,0,0,0,0
31,3,3,0,0,0,0,4,4,0,0,0,0,1,2,0,0,3,0,2,2,0,0,0,0
32,2,5,0,0,0,0,10,10,10,5,5,5,10,10,0,0,10,0,2,5,0,0,0,0
33,6,8,7,7,8,6,10,9,10,10,10,10,8,8,7,8,6,8,9,10,9,9,9,10
34,3,3,2,2,1,2,6,6,5,2,3,3,5,2,1,1,0,0,2,2,2,1,1,1
35,10,8,6,6,7,6,10,10,10,9,9,9,10,6,4,0,1,0,10,10,5,0,0,0
36,10,10,5,5,5,5,10,10,5,5,5,5,10,10,5,5,5,5,5,10,5,5,5,5
37,4,4,4,4,4,4,4,4,8,10,4,4,8,10,5,10,7,3,10,10,3,3,2,4
38,7,8,6,4,8,8,7,8,8,9,9,8,5,7,8,8,8,9,5,6,7,8,8,9
39,3,3,3,3,4,3,3,3,3,4,3,4,8,4,0,0,0,0,4,5,0,0,0,0
40,5,6,6,6,6,6,6,7,6,6,6,6,5,9,2,0,0,0,10,10,0,0,0,0
41,3,3,3,3,3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,5,0,0,0,0
42,9,8,4,6,3,3,10,10,8,7,8,8,9,4,7,1,0,0,4,2,0,0,0,0
43,7,6,3,1,2,0,6,8,3,1,0,0,9,5,3,3,1,2,7,6,4,3,1,1
44,4,4,0,4,0,0,6,6,0,0,0,0,2,5,0,0,0,0,2,3,0,0,0,0
45,5,0,0,0,1,2,10,6,0,0,0,0,4,4,4,5,5,4,1,5,1,0,1,4
46,10,10,0,0,0,0,10,10,0,0,0,0,10,10,6,0,0,0,10,10,0,0,0,0
47,6,6,5,7,6,6,10,10,10,10,10,10,6,4,8,8,8,8,8,4,9,9,9,9
48,2,3,0,1,0,0,3,4,0,0,0,0,5,4,2,3,2,1,3,3,1,0,4,0
49,9,8,8,8,8,8,9,9,9,9,9,9,9,8,9,8,8,8,9,9,9,9,9,9
50,7,9,7,7,7,5,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7,7,7,7
51,8,7,3,2,3,1,9,8,3,4,3,2,4,3,4,6,7,8,2,9,1,1,1,1
52,9,9,7,7,6,8,10,9,8,7,7,7,6,5,4,2,2,0,5,4,0,0,0,0
53,7,10,0,0,0,0,10,10,0,0,0,0,8,8,2,1,1,0,10,10,0,0,0,0
54,9,10,9,9,9,9,8,8,8,9,8,8,6,4,4,5,4,6,9,9,10,10,10,10
55,10,10,7,3,7,5,10,10,6,7,4,5,8,5,4,4,1,3,7,6,2,2,2,1
56,8,10,1,1,0,0,10,10,4,3,1,0,10,7,5,1,1,10,10,9,2,1,0,0
57,3,2,0,0,0,0,2,1,0,0,0,0,3,6,0,0,0,0,3,4,0,0,0,0
58,7,8,5,5,5,5,9,8,5,5,5,5,6,3,1,1,1,1,6,5,2,1,1,1
59,7,8,7,7,6,6,6,5,7,5,5,5,3,6,7,7,8,8,2,4,5,7,7,8
60,9,8,10,9,4,9,9,10,10,10,10,10,9,9,8,8,8,9,9,10,10,10,9,9
61,4,5,1,3,3,4,5,6,6,5,8,7,4,4,6,4,5,5,6,3,3,4,4,5
