ID,C SS20 AVG,P SS20 AVG,SCORE
1,9.25,7,2.25
2,9.25,8,1.25
3,2,1,1
4,10,0,10
5,9,4.5,4.5
6,8.75,5.25,3.5
7,4,2.75,1.25
8,1.5,0,1.5
9,4.5,0,4.5
10,8,5,3
11,8,0.75,7.25
12,4.5,5.5,-1
13,10,0,10
14,7.75,5,2.75
15,0.25,0,0.25
16,9,1.25,7.75
17,10,5.75,4.25
18,0.25,0,0.25
19,0.25,4.25,-4
20,8,2.75,5.25
21,0,0,0
22,8.25,3.5,4.75
23,0,1,-1
24,5,5,0
25,9.75,4.75,5
26,0,0,0
27,0,0,0
28,9.5,2.25,7.25
29,1.5,0.25,1.25
30,0,0,0
31,0,0,0
32,6.25,0,6.25
33,10,9.25,0.75
34,3.25,1.25,2
35,9.25,1.25,8
36,5,5,0
37,6.5,3,3.5
38,8.5,8,0.5
39,3.5,0,3.5
40,6,0,6
41,10,0,10
42,7.75,0,7.75
43,1,2.25,-1.25
44,0,0,0
45,0,1.5,-1.5
46,0,0,0
47,10,9,1
48,0,1.25,-1.25
49,9,9,0
50,10,7,3
51,3,1,2
52,7.25,0,7.25
53,0,0,0
54,8.25,10,-1.75
55,5.5,1.75,3.75
56,2,0.75,1.25
57,0,0,0
58,5,1.25,3.75
59,5.5,6.75,-1.25
60,10,9.5,0.5
61,6.5,4,2.5
